method,budgetPct,nSeedsTotal,nSeedsFeasible,feasibilityRatePct,decisionPct_mean,decisionPct_std,conditionPct_mean,conditionPct_std,mcdcPct_mean,mcdcPct_std,mutationScore_mean,mutationScore_std,populationKillCoverage_mean,populationKillCoverage_std,retainedKills_mean,retainedKills_std,killedFromTrace_mean,killedFromTrace_std,mutantsEvaluated_mean,mutantsEvaluated_std,uniqueTests_mean,uniqueTests_std,elapsedPhase_mean,elapsedPhase_std,populationKillCoverageUncond_mean,populationKillCoverageUncond_std
random_mutant,10,5,5,100,97.8723404255319,0,81.0810810810811,0,64.8648648648649,0,77.5120106707131,9.55093733484762,8.63387978142076,1.90866111437956,11.2857142857143,2.49489274236757,15.8,3.4928498393146,20.2,2.38746727726266,25,0,300.434729199998,10.135038388302,8.63387978142076,1.90866111437956
random_mutant,20,5,5,100,97.8723404255319,0,81.0810810810811,0,64.8648648648649,0,76.5474866637657,5.6597648914177,16.6120218579235,2.13744341154185,21.7142857142857,2.79394388794399,30.4,3.91152144312159,39.6,2.19089023002066,25,0,591.117162000003,7.55219570628613,16.6120218579235,2.13744341154185
random_mutant,30,5,5,100,97.8723404255319,0,81.0810810810811,0,64.8648648648649,0,75.4412131890195,5.11562336037815,24.6994535519126,2.54553326750866,32.2857142857143,3.32737562824346,45.2,4.65832587954085,59.8,2.38746727726266,25,0,884.538158599997,8.94299714462246,24.6994535519126,2.54553326750866
random_mutant,40,5,5,100,97.8723404255319,0,81.0810810810811,0,64.8648648648649,0,76.3653397639872,2.79641485843736,32.1311475409836,1.5163319044275,42,1.98206241793023,58.8,2.77488738510232,77,2.34520787991171,25,0,1173.9811248,5.28331218335929,32.1311475409836,1.5163319044275
random_mutant,50,5,5,100,97.8723404255319,0,81.0810810810811,0,64.8648648648649,0,74.8358899940543,2.94266337361088,39.016393442623,2.58048501707488,51,3.3730625580336,71.4,4.72228758124704,95.4,4.92950301754649,25,0,1469.17566,11.7468027445704,39.016393442623,2.58048501707488
random_test,10,5,4,80,19.6808510638298,2.67724625364211,9.12162162162162,5.21920280462003,0,0,10.655737704918,1.63934426229508,10.655737704918,1.63934426229508,13.9285714285714,2.14285714285714,19.5,3,183,0,1,0,170.814058,18.3713719530966,8.52459016393443,4.97237734036167
random_test,20,5,5,100,45.9574468085106,10.7019373106037,28.6486486486487,7.96036566217467,8.64864864864865,4.44099370950135,30.6010928961749,5.50531193431964,30.6010928961749,5.50531193431964,40,7.19622917128925,56,10.0747208398049,183,0,2.6,0.547722557505166,424.3555074,49.8018859450192,30.6010928961749,5.50531193431964
random_test,30,5,5,100,51.9148936170213,9.22531208028885,31.8918918918919,7.56032471929695,10.2702702702703,4.83474157297252,35.9562841530055,5.57805471264474,35.9562841530055,5.57805471264474,47,7.29131437438563,65.8,10.2078401241399,183,0,3.6,0.547722557505166,529.8182918,65.7321376140134,35.9562841530055,5.57805471264474
random_test,40,5,5,100,62.5531914893617,8.59005499497291,41.0810810810811,9.39164883994273,16.2162162162162,8.96385078474432,42.1857923497268,6.2710721542928,42.1857923497268,6.2710721542928,55.1428571428571,8.1971871731113,77.2,11.4760620423558,183,0,5.2,0.836660026534076,714.339541599998,124.740045691847,42.1857923497268,6.2710721542928
random_test,50,5,5,100,71.063829787234,6.12972778335657,48.6486486486487,10.597558879296,23.2432432432432,9.08526287241709,48.6338797814208,7.66002501031485,48.6338797814208,7.66002501031485,63.5714285714286,10.0127469777687,89,14.0178457688762,183,0,6.4,1.14017542509914,872.776762600002,169.40678370219,48.6338797814208,7.66002501031485
