testIdx,testName,mutantIdx,operatorName,blockPath,locationKey,candidateSIDs,resolvedCount,evidenceMetric,reachability,reachabilityStrict
1,Dead-Dead,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
2,Dead-Regen,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
3,Dead-ED,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
4,Dead-NoCharge,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
5,Dead-Combined,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
6,NoCharge-DEAD,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
7,NoCharge-Regen,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
8,NoCharge-ED,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
9,NoCharge-Combined,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
10,NoCharge-NoCharge,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
11,ED-ED,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
12,ED-Regen,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
13,ED-DEAD,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
14,ED-NoCharge,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
15,ED-Combined,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
16,Combined-Combined,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
17,Combined-Regen,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
18,Combined-DEAD,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
19,Combined-ED,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
20,Combined-NoCharge,1,SumOperator,stateMachine/Subtract,+-,"",0,none,NaN,NaN
