mutantIdx,operatorName,blockType,nReached,nNotReached,nUnknown,resolvedCount,ambiguous,evidenceMetric,mappingStrategy,semantics,candidateSIDs
1,SumOperator,Sum,0,0,25,0,0,none,unsupported-blocktype,unknown-unresolved,""
2,SumOperator,Sum,0,0,25,0,0,none,unsupported-blocktype,unknown-unresolved,""
3,SumOperator,Sum,0,0,25,0,0,none,unsupported-blocktype,unknown-unresolved,""
4,SumOperator,Sum,0,0,25,0,0,none,unsupported-blocktype,unknown-unresolved,""
5,TransitionConditionOperator,Stateflow.Transition,4,21,0,1,0,decision,label-exact:unique,direct,"225"
6,TransitionConditionOperator,Stateflow.Transition,4,21,0,1,0,decision,label-exact:unique,direct,"225"
7,TransitionConditionOperator,Stateflow.Transition,4,21,0,1,0,decision,label-exact:unique,direct,"225"
8,TransitionConditionOperator,Stateflow.Transition,4,21,0,1,0,decision,label-exact:unique,direct,"225"
9,TransitionConditionOperator,Stateflow.Transition,4,21,0,1,0,decision,label-exact:unique,direct,"225"
10,TransitionConditionOperator,Stateflow.Transition,11,14,0,1,0,decision,label-exact:unique,direct,"228"
11,TransitionConditionOperator,Stateflow.Transition,11,14,0,1,0,decision,label-exact:unique,direct,"228"
12,TransitionConditionOperator,Stateflow.Transition,11,14,0,1,0,decision,label-exact:unique,direct,"228"
13,TransitionConditionOperator,Stateflow.Transition,11,14,0,1,0,decision,label-exact:unique,direct,"228"
14,TransitionConditionOperator,Stateflow.Transition,11,14,0,1,0,decision,label-exact:unique,direct,"228"
15,TransitionConditionOperator,Stateflow.Transition,16,9,0,1,0,decision,label-exact:unique,direct,"229"
16,TransitionConditionOperator,Stateflow.Transition,16,9,0,1,0,decision,label-exact:unique,direct,"229"
17,TransitionConditionOperator,Stateflow.Transition,16,9,0,1,0,decision,label-exact:unique,direct,"229"
18,TransitionConditionOperator,Stateflow.Transition,16,9,0,1,0,decision,label-exact:unique,direct,"229"
19,TransitionConditionOperator,Stateflow.Transition,16,9,0,1,0,decision,label-exact:unique,direct,"229"
20,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
21,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
22,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
23,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
24,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
25,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
26,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
27,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
28,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
29,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
30,TransitionConditionOperator,Stateflow.Transition,9,16,0,1,0,decision,label-exact:unique,direct,"231"
31,TransitionConditionOperator,Stateflow.Transition,9,16,0,1,0,decision,label-exact:unique,direct,"231"
32,TransitionConditionOperator,Stateflow.Transition,9,16,0,1,0,decision,label-exact:unique,direct,"231"
33,TransitionConditionOperator,Stateflow.Transition,9,16,0,1,0,decision,label-exact:unique,direct,"231"
34,TransitionConditionOperator,Stateflow.Transition,9,16,0,1,0,decision,label-exact:unique,direct,"231"
35,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
36,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
37,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
38,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
39,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
40,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
41,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
42,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
43,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
44,TransitionConditionOperator,Stateflow.Transition,16,9,0,2,1,decision,label-exact:ambiguous,union,"230,232"
45,TransitionConditionOperator,Stateflow.Transition,21,4,0,1,0,decision,label-exact:unique,direct,"233"
46,TransitionConditionOperator,Stateflow.Transition,21,4,0,1,0,decision,label-exact:unique,direct,"233"
47,TransitionConditionOperator,Stateflow.Transition,21,4,0,1,0,decision,label-exact:unique,direct,"233"
